Date,Price,Open,High,Low,Vol.,Change %
12/26/2024,73.31,73.39,73.41,73.28,69.61K,-0.37%
12/24/2024,73.58,72.96,73.81,72.79,93.49K,1.31%
12/23/2024,72.63,72.86,73.38,71.98,184.07K,-0.43%
12/20/2024,72.94,72.57,73.29,72,240.71K,0.08%
12/19/2024,72.88,72.91,73.86,72.53,302.55K,-0.69%
12/18/2024,73.39,73.26,74.2,72.8,285.30K,0.27%
12/17/2024,73.19,73.91,74.18,72.48,270.25K,-0.45%
12/16/2024,73.52,74.2,74.2,73.34,190.46K,-0.77%
12/13/2024,74.09,73,74.2,72.95,214.16K,1.38%
12/12/2024,73.08,73.18,73.57,72.08,263.49K,-0.08%
12/11/2024,73.14,71.85,73.34,71.85,241.41K,1.72%
12/10/2024,71.9,71.59,72.4,71.26,199.26K,0.08%
12/09/2024,71.84,70.75,72.32,70.65,171.19K,1.47%
12/06/2024,70.8,71.71,71.78,70.52,205.65K,-1.23%
12/05/2024,71.68,72.15,72.48,71.4,210.16K,-0.35%
12/04/2024,71.93,73.21,73.82,71.87,221.04K,-1.73%
12/03/2024,73.2,71.66,73.52,71.4,237.22K,2.32%
12/02/2024,71.54,71.55,72.56,71.24,179.25K,-0.42%
11/29/2024,71.84,72.46,73.34,71.75,314.72K,-1.29%
11/28/2024,72.78,72.3,72.96,71.85,165.49K,0.66%
11/27/2024,72.3,72.38,72.85,71.71,309.96K,-0.03%
11/26/2024,72.32,72.28,73.8,71.63,384.80K,-0.22%
11/25/2024,72.48,74.8,74.83,72.3,400.96K,-2.88%
11/22/2024,74.63,73.8,74.86,72.95,359.21K,1.17%
11/21/2024,73.77,72.76,73.99,72.58,299.22K,1.77%
11/20/2024,72.49,73.05,73.6,72.39,219.36K,-0.69%
11/19/2024,72.99,72.86,73.6,72.36,288.93K,-0.03%
11/18/2024,73.01,70.6,73.17,70.45,229.40K,3.15%
11/15/2024,70.78,71.99,72.2,70.58,206.25K,-2.02%
11/14/2024,72.24,71.79,72.88,71.48,195.65K,0.36%
11/13/2024,71.98,71.54,72.37,70.49,238.70K,0.46%
11/12/2024,71.65,71.81,72.57,71.36,220.05K,0.00%
11/11/2024,71.65,73.58,73.84,71.38,218.33K,-2.66%
11/08/2024,73.61,75.21,75.25,73.13,215.10K,-2.19%
11/07/2024,75.26,74.63,75.69,73.71,261.00K,0.93%
11/06/2024,74.57,74.85,75.58,72.98,260.13K,-0.76%
11/05/2024,75.14,74.58,75.79,74.47,167.72K,0.64%
11/04/2024,74.66,73.65,74.96,73.5,157.61K,2.65%
11/01/2024,72.73,73.71,74.5,72.51,177.63K,-0.11%
10/31/2024,72.81,72.51,74.28,71.82,391.91K,0.90%
10/30/2024,72.16,70.96,72.74,70.71,377.10K,2.02%
10/29/2024,70.73,71.56,72.11,70.28,381.25K,-0.38%
10/28/2024,71,72.36,72.92,70.82,471.15K,-6.12%
10/25/2024,75.63,74.3,75.73,73.81,276.76K,2.16%
10/24/2024,74.03,74.91,76.08,73.64,264.33K,-0.71%
10/23/2024,74.56,75.33,75.64,74.08,284.68K,-1.40%
10/22/2024,75.62,73.84,75.91,73.23,278.31K,2.30%
10/21/2024,73.92,72.78,74.21,72.43,204.62K,1.71%
10/18/2024,72.68,74.07,74.48,72.13,218.95K,-1.76%
10/17/2024,73.98,74.1,74.48,72.83,215.41K,0.26%
10/16/2024,73.79,74.31,74.52,73.05,226.56K,-0.12%
10/15/2024,73.88,74.94,75.25,73.05,316.07K,-4.16%
10/14/2024,77.09,78.05,78.05,74.55,244.07K,-1.92%
10/11/2024,78.6,78.56,78.97,77.55,228.65K,-0.33%
10/10/2024,78.86,76.27,79.14,76.27,226.41K,3.59%
10/09/2024,76.13,77.12,77.57,74.78,267.53K,-0.86%
10/08/2024,76.79,80.37,80.53,75.99,378.84K,-4.43%
10/07/2024,80.35,77.47,80.55,76.66,278.56K,3.77%
10/04/2024,77.43,77.25,78.58,76.88,311.93K,0.41%
10/03/2024,77.11,74.18,77.45,73.94,367.60K,4.85%
10/02/2024,73.54,74.05,75.67,73.24,270.49K,0.45%
10/01/2024,73.21,71.59,75.02,69.68,392.93K,2.11%
