Date,Price,Open,High,Low,Vol.,Change %
12/26/2024,1.967,1.9624,1.9744,1.9588,0.07K,0.23%
12/25/2024,1.9625,1.9637,1.9651,1.9621,,0.18%
12/24/2024,1.9589,1.9512,1.9786,1.9512,0.92K,1.06%
12/23/2024,1.9383,1.9414,1.9566,1.9226,1.17K,-0.17%
12/20/2024,1.9416,1.9127,1.9507,1.9069,2.22K,0.98%
12/19/2024,1.9228,1.9328,1.9415,1.9127,2.35K,-1.03%
12/18/2024,1.9428,1.9474,1.9741,1.9335,5.28K,-0.06%
12/17/2024,1.9439,1.975,1.975,1.9314,4.73K,-1.61%
12/16/2024,1.9757,1.9941,1.9949,1.9726,8.15K,-1.30%
12/13/2024,2.0018,1.9948,2.0088,1.9876,10.85K,0.67%
12/12/2024,1.9885,1.9965,1.9965,1.9567,10.96K,0.14%
12/11/2024,1.9858,1.9551,1.9914,1.9551,13.91K,1.48%
12/10/2024,1.9568,1.9418,1.9727,1.9395,11.99K,0.22%
12/09/2024,1.9525,1.9101,1.962,1.9061,10.77K,2.43%
12/06/2024,1.9062,1.9369,1.9371,1.8952,9.53K,-1.36%
12/05/2024,1.9325,1.9407,1.9508,1.921,9.20K,-0.34%
12/04/2024,1.9391,1.9634,1.9787,1.9359,14.18K,-1.19%
12/03/2024,1.9624,1.9211,1.9697,1.918,11.97K,2.36%
12/02/2024,1.9172,1.9024,1.932,1.899,11.19K,0.97%
11/29/2024,1.8988,1.9404,1.9548,1.9011,9.61K,-2.17%
11/28/2024,1.9409,1.9386,1.9515,1.9249,3.38K,-1.65%
11/27/2024,1.9734,1.9734,1.9734,1.9734,0.17K,-0.92%
11/26/2024,1.9918,1.9952,2.0354,1.9761,0.93K,-0.43%
11/25/2024,2.0005,2.0625,2.0625,1.9917,2.78K,-2.95%
11/22/2024,2.0614,2.054,2.0792,2.0378,1.90K,0.10%
11/21/2024,2.0594,2.0417,2.0873,2.0306,2.79K,0.66%
11/20/2024,2.0458,2.038,2.0704,2.0374,2.06K,0.40%
11/19/2024,2.0377,2.0187,2.0455,2.0022,2.27K,0.96%
11/18/2024,2.0183,1.9482,2.0251,1.9413,6.67K,3.54%
11/15/2024,1.9493,1.9736,1.9928,1.9463,7.82K,-1.63%
11/14/2024,1.9817,1.9593,1.996,1.9477,13.42K,0.84%
11/13/2024,1.9651,1.9619,1.984,1.9308,9.48K,0.04%
11/12/2024,1.9643,1.962,1.9932,1.9512,10.70K,0.37%
11/11/2024,1.957,2.0066,2.0222,1.9557,7.82K,-2.76%
11/08/2024,2.0125,2.0493,2.0493,1.9995,9.84K,-2.00%
11/07/2024,2.0536,2.0347,2.0615,2.012,8.34K,0.89%
11/06/2024,2.0354,2.0356,2.0569,1.982,16.63K,-0.45%
11/05/2024,2.0446,2.0232,2.06,2.0191,10.24K,1.26%
11/04/2024,2.0192,1.9953,2.0323,1.992,12.40K,2.68%
11/01/2024,1.9665,2.0041,2.0214,1.9659,20.32K,-0.37%
10/31/2024,1.9738,1.9697,2.0082,1.9534,19.51K,-1.10%
10/30/2024,1.9957,1.9228,1.9722,1.9219,0.00K,2.25%
10/29/2024,1.9518,1.9772,1.9911,1.9406,1.38K,-0.74%
10/28/2024,1.9664,2.03,2.03,1.9659,2.27K,-0.20%
10/27/2024,1.9703,1.9506,1.9716,1.9451,,-5.21%
10/25/2024,2.0785,2.0339,2.083,2.0339,0.97K,2.51%
10/24/2024,2.0277,2.0527,2.07,2.0169,1.52K,-0.67%
10/23/2024,2.0414,2.0718,2.0718,2.0274,2.34K,-1.45%
10/22/2024,2.0715,2.011,2.0714,1.9981,1.10K,2.82%
10/21/2024,2.0147,2.0018,2.0401,2.0005,2.25K,0.63%
10/18/2024,2.002,2.0532,2.0532,1.9959,8.84K,-2.19%
10/17/2024,2.0468,2.054,2.054,2.0116,16.36K,0.32%
10/16/2024,2.0403,2.0347,2.0496,2.0188,12.16K,0.13%
10/15/2024,2.0377,2.0597,2.0597,2.0118,9.41K,-3.36%
10/14/2024,2.1086,2.1179,2.1286,2.062,12.31K,-2.00%
10/11/2024,2.1516,2.1526,2.1635,2.1185,19.12K,0.03%
10/10/2024,2.1509,2.0675,2.1561,2.0675,17.49K,4.09%
10/09/2024,2.0664,2.0768,2.0825,2.0207,15.39K,-0.08%
10/08/2024,2.0681,2.1544,2.1544,2.0449,25.81K,-3.98%
10/07/2024,2.1538,2.089,2.1659,2.0778,19.68K,2.77%
10/04/2024,2.0958,2.1002,2.122,2.0826,21.73K,0.15%
10/03/2024,2.0926,2.0146,2.1037,1.9993,18.35K,5.37%
10/02/2024,1.9859,1.9874,2.0251,1.9649,15.47K,0.98%
