Date,Price,Open,High,Low,Vol.,Change %
12/26/2024,2.239,2.2239,2.2498,2.2161,1.91K,0.70%
12/25/2024,2.2234,2.2252,2.2252,2.2225,0.02K,0.09%
12/24/2024,2.2215,2.2387,2.2498,2.2169,15.73K,-0.22%
12/23/2024,2.2263,2.2349,2.2618,2.212,30.60K,-0.24%
12/20/2024,2.2317,2.2315,2.2411,2.2003,36.20K,-0.27%
12/19/2024,2.2377,2.2438,2.2713,2.2285,28.23K,-0.77%
12/18/2024,2.255,2.2324,2.2766,2.2275,40.32K,1.22%
12/17/2024,2.2279,2.261,2.266,2.2075,43.55K,-1.59%
12/16/2024,2.264,2.2719,2.2755,2.2506,45.45K,-0.26%
12/13/2024,2.27,2.238,2.2755,2.2325,51.69K,1.49%
12/12/2024,2.2366,2.229,2.2465,2.2004,56.31K,0.60%
12/11/2024,2.2233,2.1819,2.2318,2.1805,59.92K,1.70%
12/10/2024,2.1861,2.1792,2.2043,2.1667,56.32K,0.12%
12/09/2024,2.1835,2.1305,2.1933,2.1285,58.80K,2.39%
12/06/2024,2.1326,2.1589,2.1589,2.1226,58.54K,-1.07%
12/05/2024,2.1557,2.1709,2.189,2.1427,54.40K,-0.54%
12/04/2024,2.1674,2.2149,2.2331,2.1649,76.15K,-2.27%
12/03/2024,2.2177,2.1782,2.2319,2.1738,56.65K,1.84%
12/02/2024,2.1777,2.2039,2.2278,2.1722,73.10K,-0.70%
11/29/2024,2.193,2.2023,2.2358,2.1853,3.70K,-0.48%
11/27/2024,2.2036,2.239,2.2487,2.1899,19.80K,-1.64%
11/26/2024,2.2404,2.2425,2.2891,2.2197,25.02K,0.23%
11/25/2024,2.2353,2.2831,2.2831,2.2155,30.07K,-2.15%
11/22/2024,2.2845,2.2808,2.3033,2.2564,71.32K,0.03%
11/21/2024,2.2839,2.2416,2.2876,2.2363,68.89K,2.12%
11/20/2024,2.2365,2.2482,2.2603,2.2321,62.39K,-0.68%
11/19/2024,2.2517,2.2661,2.2859,2.2451,67.83K,-0.46%
11/18/2024,2.2621,2.1805,2.2701,2.1765,61.38K,3.68%
11/15/2024,2.1818,2.2192,2.2287,2.1799,44.40K,-1.81%
11/14/2024,2.222,2.2242,2.2552,2.2097,46.98K,-0.31%
11/13/2024,2.2288,2.2128,2.2457,2.1827,51.10K,0.42%
11/12/2024,2.2194,2.2047,2.244,2.1979,46.19K,0.56%
11/11/2024,2.207,2.245,2.258,2.1993,36.46K,-1.91%
11/08/2024,2.25,2.2905,2.2925,2.2366,33.45K,-2.02%
11/07/2024,2.2964,2.2778,2.3069,2.248,51.35K,0.66%
11/06/2024,2.2813,2.3048,2.3212,2.2511,42.78K,-1.37%
11/05/2024,2.3131,2.289,2.3305,2.2868,26.52K,0.90%
11/04/2024,2.2924,2.2589,2.3068,2.2589,25.86K,2.23%
11/01/2024,2.2424,2.268,2.2962,2.2342,35.22K,0.34%
10/31/2024,2.2347,2.216,2.2725,2.1995,74.63K,1.65%
10/30/2024,2.1985,2.1503,2.217,2.1483,63.93K,2.56%
10/29/2024,2.1436,2.1559,2.163,2.1173,64.67K,0.18%
10/28/2024,2.1398,2.2109,2.2109,2.1375,67.59K,-4.86%
10/25/2024,2.2491,2.2183,2.2631,2.2073,64.77K,1.64%
10/24/2024,2.2129,2.2341,2.2688,2.2069,64.80K,-0.82%
10/23/2024,2.2311,2.2417,2.2507,2.2126,52.01K,-0.71%
10/22/2024,2.2471,2.1899,2.256,2.1815,57.23K,2.38%
10/21/2024,2.1948,2.1644,2.203,2.1576,50.17K,1.52%
10/18/2024,2.162,2.2011,2.2174,2.1569,54.25K,-1.94%
10/17/2024,2.2047,2.1902,2.2108,2.1678,47.47K,0.79%
10/16/2024,2.1874,2.2082,2.2145,2.1682,39.77K,-0.57%
10/15/2024,2.1999,2.2294,2.2445,2.1828,53.56K,-3.82%
10/14/2024,2.2873,2.3475,2.3475,2.2344,48.05K,-2.88%
10/11/2024,2.3552,2.3575,2.3739,2.3236,38.33K,-0.27%
10/10/2024,2.3616,2.2926,2.37,2.2894,45.26K,3.26%
10/09/2024,2.287,2.3215,2.3298,2.2526,47.23K,-1.00%
10/08/2024,2.3101,2.409,2.4262,2.283,55.47K,-4.01%
10/07/2024,2.4066,2.3305,2.412,2.3152,53.90K,3.48%
10/04/2024,2.3256,2.315,2.3614,2.3021,64.33K,0.89%
10/03/2024,2.305,2.2167,2.3166,2.1989,57.31K,4.94%
10/02/2024,2.1964,2.212,2.2664,2.1909,45.11K,0.43%
10/01/2024,2.1869,2.165,2.2416,2.1114,66.20K,1.51%
09/30/2024,2.1544,2.167,2.1879,2.1367,60.69K,0.14%
09/27/2024,2.1513,2.1515,2.1731,2.1196,66.76K,-0.07%
09/26/2024,2.1529,2.1769,2.1886,2.1142,66.09K,-1.10%
