Date,Price,Open,High,Low,Vol.,Change %
12/26/2024,70.18,70.22,70.48,70.08,38.79K,-0.10%
12/25/2024,70.25,70.23,70.28,70.22,0.75K,0.21%
12/24/2024,70.1,69.56,70.43,69.36,122.60K,1.24%
12/23/2024,69.24,69.4,69.94,68.59,188.84K,-0.32%
12/20/2024,69.46,69.23,69.85,68.42,231.59K,-0.64%
12/19/2024,69.91,70.14,71.26,69.7,32.90K,-0.95%
12/18/2024,70.58,70.22,71.38,69.99,99.39K,0.71%
12/17/2024,70.08,70.61,70.92,69.18,99.60K,-0.89%
12/16/2024,70.71,71.44,71.44,70.37,204.30K,-0.81%
12/13/2024,71.29,70.06,71.42,69.87,230.43K,1.81%
12/12/2024,70.02,70.43,70.72,69.14,326.05K,-0.38%
12/11/2024,70.29,68.5,70.53,68.44,335.89K,2.48%
12/10/2024,68.59,68.19,69.06,67.72,286.00K,0.32%
12/09/2024,68.37,67.15,68.88,67.08,297.09K,1.74%
12/06/2024,67.2,68.44,68.49,66.98,341.59K,-1.61%
12/05/2024,68.3,68.74,69.16,67.98,286.70K,-0.35%
12/04/2024,68.54,70.02,70.51,68.49,325.64K,-2.00%
12/03/2024,69.94,68.16,70.23,67.91,303.75K,2.70%
12/02/2024,68.1,68,69.11,67.71,264.88K,0.15%
11/29/2024,68,68.77,69.69,67.87,291.41K,-1.05%
11/27/2024,68.72,68.91,69.37,68.18,227.22K,-0.07%
11/26/2024,68.77,69.08,70.3,68.05,292.14K,-0.25%
11/25/2024,68.94,71.44,71.48,68.74,380.92K,-3.23%
11/22/2024,71.24,70.18,71.51,69.29,408.21K,1.63%
11/21/2024,70.1,69.04,70.38,68.86,283.85K,1.79%
11/20/2024,68.87,69.55,70.15,68.75,24.43K,-0.75%
11/19/2024,69.39,69.01,69.69,68.45,89.36K,0.33%
11/18/2024,69.16,66.86,69.39,66.61,110.38K,3.19%
11/15/2024,67.02,68.62,68.69,66.82,205.24K,-2.45%
11/14/2024,68.7,68.13,69.39,67.92,232.27K,0.39%
11/13/2024,68.43,67.98,68.86,66.94,386.03K,0.46%
11/12/2024,68.12,68.15,69.13,67.75,286.93K,0.12%
